"","Code","Sample Point","Type","Territory","Municipality","XETRS89","YETRS89","ZETRS89","Water range","Water range type","Basin","Section","Subgroup"
"73","DKI036","Irabaneta (Kilimoi) (MENDARO)","RÍOS","Gipuzkoa","Mendaro",551713,4787337,0,"Kilimoi-A","Ríos cántabro-atlánticos calcáreos","Deba","Kilimoi 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"74","DMI044","Mutriku (Mijoa-Saturraran) (MUTRIKU)","RÍOS","Gipuzkoa","Mutriku",548247,4795168,0,"Saturraran-A","Ríos costeros cántabro-atlánticos","Saturraran","Saturraran 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"75","DMI064","Camping (Saturraran) (MUTRIKU)","RÍOS","Gipuzkoa","Mutriku",547754,4795986,0,"Saturraran-A","Ríos costeros cántabro-atlánticos","Saturraran","Saturraran 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"76","DOA042","Soroaundieta (Arantzazu) (OÑATI)","RÍOS","Gipuzkoa","Oñati",548039,4759099,0,"Arantzazu-A","Ríos vasco-pirenaicos","Arantzazu","Arantzazu 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"77","DOA124","Oñati (Arantzazu) (OÑATI)","RÍOS","Gipuzkoa","Oñati",546109,4764638,0,"Arantzazu-A","Ríos vasco-pirenaicos","Arantzazu","Arantzazu 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"78","DOI025","Auntzerreka (Oñati) (OÑATI)","RÍOS","Gipuzkoa","Oñati",550936,4763192,0,"Oinati-A","Ríos vasco-pirenaicos","Oñati","Oinati 4","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"79","DOI095","Zubillaga (Oñati) (OÑATI)","RÍOS","Gipuzkoa","Oñati",545389,4768141,0,"Oinati-B","Ríos vasco-pirenaicos","Oñati","Oinati 2","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"80","DUB014","Zezeaga (Ubera) (BERGARA)","RÍOS","Gipuzkoa","Bergara",543580,4776304,NA,"Ubera-A","Ríos cántabro-atlánticos calcáreos","Deba","Ubera 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"81","DUB042","Bergara (Ubera) (BERGARA)","RÍOS","Gipuzkoa","Bergara",546577,4775062,0,"Ubera-A","Ríos cántabro-atlánticos calcáreos","Deba","Ubera 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"82","EBM100","Elciego aguas arriba (Riomayor) (ELCIEGO)","RÍOS","Araba/Álava","Elciego",531479,4707477,0,"Riomayor hasta Ebro","Ríos mineralizados de baja montaña mediterránea","Ebro","Riomayor 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
