id,link,content,start_time,end_time,programme_id,programme_date
Zx_w-W0BCKkHyZ2v6Wff,http://rtve.es/v/3299862?t=00h20m04s,"Francia intenta luchar contra la contaminación, a pesar de que favorece el motor diesel que es el que más contamina.",1204,1208,3299862,2015-09-25T15:00:00+00:00
#�NOMBRE?,http://rtve.es/v/3297318?t=00h24m51s,Es alentadora su iniciativa para reducir la contaminación.,1491,1496,3297318,2015-09-23T21:00:00+00:00
5xve-W0BCKkHyZ2vIQ9O,http://rtve.es/v/3296050?t=00h42m59s,"Un año mas las calles han cedido el protagonismo a peatones y bicicletas, una inicitiva europea que nos invita a aparcar el coche para comprobar cómo puede cambiar la ciudad con menos ruido y contaminación Esto parece aquella película de Amenábar, ¿no? en la que estaba todo desierto. que hoy durante 4 horas ha cambiado coches y motos, por peatones, patines y bicicletas con la alcaldesa al frente, seguida por niños de 35 colegios.",2579,2582,3296050,2015-09-22T21:00:00+00:00
iRvf-W0BCKkHyZ2vxXPc,http://rtve.es/v/3286922?t=00h46m26s,"Como este jardín a escala, dedicado a los compatriotas que mueren cada año por contaminación.",2786,2789,3286922,2015-09-16T21:00:00+00:00
mBvh-W0BCKkHyZ2v6Pxy,http://rtve.es/v/3277893?t=00h36m32s,"La transmisión de la proteína beta-amiloide asociada a la enfermedad, durante prácticas quirúrgicas, por contaminación del instrumental.",2192,2195,3277893,2015-09-10T21:00:00+00:00
_hbI-W0BCKkHyZ2v-nSF,http://rtve.es/v/3277482?t=00h26m40s,"Los investigadores descartan el contagio, pero tienen la primera evidencia de que una proteína asociada a la enfermedad podría transferirse por contaminación del material quirúrgico Los investigadores del University College de Londres plantean la posibilidad de que además de la aparición espontanea o la predisposición genética, una tercera vía para el desarrollo del Alzheimer, La transmisión de la proteína beta amiloide, asociada a esta enfermedad, durante algunas prácticas quirúrgicas, por contaminación del instrumental.",1600,1603,3277482,2015-09-10T15:00:00+00:00
6hzl-W0BCKkHyZ2vJq-F,http://rtve.es/v/3268669?t=00h39m58s,"El traslado de pacientes hospitalizados al nuevo centro se suspendió hace una semana, tras detectar contaminación microbiológica en zonas críticas, como urgencias, quirófanos o cuidados intensivos, que continúan cerradas.",2398,2402,3268669,2015-09-03T21:00:00+00:00
FhnV-W0BCKkHyZ2vtk2a,http://rtve.es/v/3265747?t=00h34m40s,La medida busca mejorar la seguridad y reducir la contaminación.,2080,2083,3265747,2015-09-01T21:00:00+00:00
LRnV-W0BCKkHyZ2vtk3f,http://rtve.es/v/3265747?t=00h36m17s,"Se reduce, dicen, la contaminación del aire y la del ruido.",2177,2181,3265747,2015-09-01T21:00:00+00:00
exjS-W0BCKkHyZ2vH4o4,http://rtve.es/v/3265384?t=00h03m20s,"La medida, que entra hoy en vigor, pretende mejorar la seguridad vial, rebajar la contaminación y dar prioridad al peatón y al ciclista.",200,204,3265384,2015-09-01T15:00:00+00:00
WxjS-W0BCKkHyZ2vIota,http://rtve.es/v/3265384?t=00h36m34s,"Un límite de velocidad más bajo, con el que se pretende mejorar la seguridad y reducir la contaminación.",2194,2196,3265384,2015-09-01T15:00:00+00:00
ZRjS-W0BCKkHyZ2vIot2,http://rtve.es/v/3265384?t=00h38m04s,"Supone una menor contaminación, menos problemas de ruido Supone una menor contaminación, menos problemas de ruido en el caso de haber siniestros estos son más leves.",2284,2288,3265384,2015-09-01T15:00:00+00:00
Nx3n-W0BCKkHyZ2vyUSU,http://rtve.es/v/3261356?t=00h30m11s,"Todo, para evitar la contaminación de pruebas y su posible fuga.",1811,1813,3261356,2015-08-28T15:00:00+00:00
aR7s-W0BCKkHyZ2vtXBt,http://rtve.es/v/3256611?t=00h37m16s,"El Gobierno ha tomado una serie de medidas para reducir drásticamente la contaminación y dar una imagen de la ciudad más limpia de cara al Mundial de Atletismo, y al desfile internacional de septiembre para conmemorar los 70 años del final de la Segunda Guerra Mudial.",2236,2239,3256611,2015-08-24T15:00:00+00:00
ch7s-W0BCKkHyZ2vtXCI,http://rtve.es/v/3256611?t=00h38m08s,"Hay una aplicación en el móvil que aquí solemos mirar mucho, incluso los ciudadanos de Madrid y que mide el índice de contaminación.",2288,2291,3256611,2015-08-24T15:00:00+00:00
dh7s-W0BCKkHyZ2vtXCV,http://rtve.es/v/3256611?t=00h38m33s,"Que en 3 días, ha bajado la contaminación lo han notado también los atletas, que empezaron a entrenar hace una semana.",2313,2316,3256611,2015-08-24T15:00:00+00:00
eR7s-W0BCKkHyZ2vtXCd,http://rtve.es/v/3256611?t=00h38m46s,"Y a pesar de que el Gobierno de Xi Jinping está haciendo esfuerzos por reducir los altos índices de contaminación, algunos en Pekín se preguntan, si tienen que pasar algún gran acontecimiento para ver cielo y nubes que no sean de pompas de jabón.",2326,2329,3256611,2015-08-24T15:00:00+00:00
dh3q-W0BCKkHyZ2vifUA,http://rtve.es/v/3250521?t=00h21m36s,"La contaminación tóxica puede empeorar si llueve, porque el agua en contacto con el cianuro de sodio, se convierte en gas y el más difícil de controlar.",1296,1300,3250521,2015-08-17T21:00:00+00:00
tBfO-W0BCKkHyZ2vJ6Js,http://rtve.es/v/3249136?t=00h48m58s,No cesa la polémica por la contaminación de las aguas en la bahía de Río de Janeiro donde se disputarán las regatas olímpicas el verano que viene.,2938,2941,3249136,2015-08-16T15:00:00+00:00
8RbK-W0BCKkHyZ2vl9Gb,http://rtve.es/v/3248659?t=00h01m17s,"Algunas fuentes aseguran que la zona ha sido evacuada en un radio de tres kilómetros por peligro de contaminación química, pero las autoridades lo niegan.",77,80,3248659,2015-08-15T21:00:00+00:00
BBbH-W0BCKkHyZ2vEAfE,http://rtve.es/v/3248468?t=00h01m22s,"Según algunas fuentes, se habría evacuado a la población en un radio de tres kilómetros por peligro de contaminación química.",82,85,3248468,2015-08-15T15:00:00+00:00
